france,alpes-cote-d-azur,alsace,aquitaine,auvergne,basse-normandie,bourgogne,bretagne,centre,champagne-ardenne,corsica,franche-comte,haute-normandie,ile-de-france,languedoc-roussillon,limousin,lorraine,midi-pyrenees,nord-pas-de-calais,pays-de-la-loire,picardie,poitou-charentes,rhone-alpes
,saint-jeannet,,payzac,,,,milizac,pouligny-saint-pierre,,,,,le-pecq,saint-laurent-de-la-salanque,,senones,saint-genies-bellevue,libercourt,les-ponts-de-ce,villers-bocage,vivonne,grenay
,saint-julien,,pellegrue,,,,miniac-morvan,preuilly-sur-claise,,,,,le-perray-en-yvelines,saint-laurent-des-arbres,,seremange-erzange,saint-georges-de-luzencon,licques,les-rosiers-sur-loire,villers-bretonneux,voeuil-et-giget,grenoble
,saint-laurent-du-var,,perigueux,,,,minihy-treguier,pruniers-en-sologne,,,,,le-perreux-sur-marne,saint-mamert-du-gard,,sierck-les-bains,saint-girons,lieu-saint-amand,les-sables-d-olonne,villers-cotterets,vouille,gresy-sur-aix
,saint-mandrier-sur-mer,,pessac,,,,moelan-sur-mer,puiseaux,,,,,le-pin,saint-marcel-sur-aude,,solgne,saint-jean,lievin,les-sorinieres,villers-saint-paul,vouneuil-sous-biard,gresy-sur-isere
,saint-marc-jaumegarde,,peujard,,,,molac,quiers-sur-bezonde,,,,,le-plessis-bouchard,saint-martin-de-londres,,soucht,saint-jean-du-falga,ligny-en-cambresis,les-touches,villers-sous-saint-leu,vouneuil-sur-vienne,grezieu-la-varenne
,saint-martin-de-crau,,peyrehorade,,,,montauban-de-bretagne,rebrechien,,,,,le-plessis-pate,saint-martin-de-valgalgues,,spicheren,saint-jory,lille,ligne,villers-sur-coudun,yves,grieges
,saint-martin-de-queyrieres,,piegut-pluviers,,,,monterblanc,reignac-sur-indre,,,,,le-plessis-robinson,saint-martin-lalande,,stenay,saint-juery,lillers,lire,vineuil-saint-firmin,,grignan
,saint-martin-du-var,,pissos,,,,monterfil,restigne,,,,,le-plessis-trevise,saint-mathieu-de-treviers,,stiring-wendel,saint-lary-soulan,linselles,loiron,viry-noureuil,,grignon
,saint-martin-vesubie,,podensac,,,,montfort-sur-meu,reugny,,,,,le-port-marly,saint-nazaire,,taintrux,saint-lizier,locon,lombron,warluis,,grigny
,saint-maximin-la-sainte-baume,,poey-de-lescar,,,,montgermont,reuilly,,,,,le-pre-saint-gervais,saint-pargoire,,talange,saint-loup-cammas,loison-sous-lens,longeville-sur-mer,wassigny,,groissiat
,saint-mitre-les-remparts,,pomarez,,,,montreuil-le-gast,rians,,,,,le-raincy,saint-paul-de-fenouillet,,tenteling,saint-lys,lomme,loue,wavignies,,groisy
,saint-paul-de-vence,,pompignac,,,,montreuil-sous-perouse,richelieu,,,,,le-thillay,saint-paulet-de-caisson,,terville,saint-nauphary,lompret,louplande,woincourt,,gruffy
,saint-paul-en-foret,,pontacq,,,,montreuil-sur-ille,rochecorbon,,,,,le-val-saint-germain,saint-pons-de-thomieres,,teting-sur-nied,saint-nicolas-de-la-grave,longfosse,louverne,,,guereins
,saint-raphael,,pont-du-casse,,,,mordelles,romorantin-lanthenay,,,,,le-vesinet,saint-privat-des-vieux,,thaon-les-vosges,saint-orens-de-gameville,longuenesse,luceau,,,guilherand-granges
,saint-remy-de-provence,,pontenx-les-forges,,,,moreac,rouziers-de-touraine,,,,,les-alluets-le-roi,saint-quentin-la-poterie,,theding,saint-paul-cap-de-joux,looberghe,luche-pringe,,,hauterives
,saint-saturnin-les-apt,,portets,,,,morlaix,sache,,,,,les-clayes-sous-bois,saint-thibery,,thierville-sur-meuse,saint-paul-de-jarrat,loon-plage,lucon,,,haute-rivoire
,saint-saturnin-les-avignon,,port-sainte-foy-et-ponchapt,,,,moustoir-ac,saint-aignan,,,,,les-essarts-le-roi,saint-victor-la-coste,,thil,saint-pe-de-bigorre,loos,lusanger,,,hauteville-lompnes
,saint-savournin,,port-sainte-marie,,,,mur-de-bretagne,saint-amand-longpre,,,,,les-lilas,saleilles,,thionville,saint-porquier,loos-en-gohelle,mache,,,herbeys
,saint-tropez,,pouillon,,,,muzillac,saint-amand-montrond,,,,,les-loges-en-josas,salindres,,tomblaine,saint-sauveur,lorgies,machecoul,,,heyrieux
,saint-vallier-de-thiey,,prechac,,,,naizin,saint-antoine-du-rocher,,,,,les-molieres,salses-le-chateau,,toul,saint-sulpice,lourches,maillezais,,,hieres-sur-amby
,saint-victoret,,preignac,,,,neulliac,saint-aubin-des-bois,,,,,les-mureaux,sant-andreu-de-sureda,,tremery,saint-sulpice-sur-leze,louvroil,maisdon-sur-sevre,,,huez
,saint-zacharie,,prigonrieux,,,,nevez,saint-avertin,,,,,les-pavillons-sous-bois,sant-genis-de-fontanes,,tressange,saix,lozinghem,malicorne-sur-sarthe,,,irigny
,salernes,,pugnac,,,,nivillac,saint-ay,,,,,les-ulis,sant-joan-de-pladecorts,,trieux,salies-du-salat,lumbres,malville,,,izeaux
,salon-de-provence,,pujols,,,,nostang,saint-benoit-sur-loire,,,,,lesigny,sant-llorenc-de-cerdans,,tronville-en-barrois,salles-curan,lys-lez-lannoy,mamers,,,izernore
,sanary-sur-mer,,puyoo,,,,nouvoitou,saint-branchs,,,,,leudeville,saussan,,tucquegnieux,salles-la-source,maing,mansigne,,,jacob-bellecombette
,sarrians,,quinsac,,,,noyal-muzillac,saint-brisson-sur-loire,,,,,leuville-sur-orge,sauve,,uckange,salviac,maisnil-les-ruitz,marcon,,,janneyrias
,sault,,rauzan,,,,noyal-pontivy,saint-christophe-sur-le-nais,,,,,levallois-perret,sauveterre,,urimenil,samatan,mametz,mareuil-sur-lay-dissais,,,jardin
,sausset-les-pins,,reignac,,,,noyal-sur-vilaine,saint-claude-de-diray,,,,,levis-saint-nom,sauvian,,uxegney,saubens,marchiennes,marigne-laille,,,jarrie
,seillans,,riberac,,,,orgeres,saint-cyr-en-val,,,,,l-hay-les-roses,saze,,uzemain,saverdun,marck,marolles-les-braults,,,jassans-riottier
,senas,,rion-des-landes,,,,osse,saint-cyr-sur-loire,,,,,lieusaint,serignan,,vacon,sebazac-concoures,marcoing,marsac-sur-don,,,jasseron
,septemes-les-vallons,,rions,,,,pabu,saint-denis-en-val,,,,,limay,sernhac,,vagney,seilh,marconne,martigne-briand,,,jaujac
,serignan-du-comtat,,riviere-saas-et-gourby,,,,pace,saint-denis-les-ponts,,,,,limeil-brevannes,servian,,valleroy,seissan,marconnelle,martigne-sur-mayenne,,,jonage
,serres,,roquefort,,,,paimpol,saint-doulchard,,,,,limetz-villez,sete,,valmont,semalens,marcq-en-baroeul,maulevrier,,,jons
,seyne,,rouffignac-saint-cernin-de-reilhac,,,,paimpont,saint-dye-sur-loire,,,,,limours,sigean,,vandoeuvre-les-nancy,semeac,maretz,mauves-sur-loire,,,jonzieux
,signes,,sablons,,,,pance,sainte-genevieve-des-bois,,,,,linas,sommieres,,varangeville,septfonds,marles-les-mines,mayenne,,,joyeuse
,simiane-collongue,,sabres,,,,parigne,sainte-lizaigne,,,,,l-isle-adam,sumene,,vaucouleurs,severac-le-chateau,marly,mayet,,,jujurieux
,sisteron,,sadirac,,,,peaule,saint-eloy-de-gy,,,,,lisses,sureda,,vecoux,seysses,maroeuil,maze,,,la-balme-de-sillingy
,six-fours-les-plages,,saint-andre-de-seignanx,,,,pedernec,sainte-maure-de-touraine,,,,,liverdy-en-brie,sussargues,,velaine-en-haye,soreze,maroilles,mazieres-en-mauges,,,la-bathie
,sollies-pont,,saint-antoine-de-breuilh,,,,peillac,saint-epain,,,,,livry-gargan,tavel,,velaines,soual,marpent,melay,,,la-batie-montgascon
,sollies-toucas,,saint-astier,,,,pencran,sainte-solange,,,,,livry-sur-seine,teyran,,verdun,soues,marquette-lez-lille,mervent,,,la-begude-de-mazenc
,sollies-ville,,saint-aubin-de-medoc,,,,penestin,saint-etienne-de-chigny,,,,,lizy-sur-ourcq,theza,,verny,souillac,marquillies,mesanger,,,la-biolle
,sorgues,,saint-aulaye,,,,penvenan,saint-florent-sur-cher,,,,,lognes,thezan-les-beziers,,vezelise,tarascon-sur-ariege,marquion,meslay-du-maine,,,la-boisse
,sospel,,saint-caprais-de-bordeaux,,,,perros-guirec,saint-gaultier,,,,,longjumeau,thuir,,vic-sur-seille,tarbes,marquise,mesquer,,,la-bridoire
,speracedes,,saint-christoly-de-blaye,,,,pipriac,saint-georges-sur-cher,,,,,longnes,torreilles,,vigneulles-les-hattonchatel,toulouse,masnieres,mezeray,,,la-buisse
,taillades,,saint-ciers-d-abzac,,,,pire-sur-seiche,saint-georges-sur-eure,,,,,longperrier,toulouges,,vignot,tournay,masny,mire,,,la-chambre
,tallard,,saint-ciers-sur-gironde,,,,plabennec,saint-germain-des-pres,,,,,longpont-sur-orge,tourbes,,vigy,tournefeuille,maubeuge,missillac,,,la-chapelle-de-la-tour
,tanneron,,saint-cyprien,,,,plaine-haute,saint-germain-du-puy,,,,,longueville,trebes,,villers-la-montagne,trie-sur-baise,mazingarbe,moisdon-la-riviere,,,la-clusaz
,taradeau,,saint-denis-de-pile,,,,plaintel,saint-gervais-la-foret,,,,,lorrez-le-bocage-preaux,tresques,,villers-les-nancy,vacquiers,mericourt,monce-en-belin,,,la-cote-saint-andre
,tarascon,,sainte-bazeille,,,,plancoet,saint-hilaire-saint-mesmin,,,,,louveciennes,trouillas,,villerupt,valady,merignies,monnieres,,,la-fouillouse
,tende,,sainte-colombe-en-bruilhois,,,,planguenoual,saint-jean-de-braye,,,,,louvres,uchaud,,villey-saint-etienne,valence,merlimont,montaigu,,,la-garde-adhemar
,theoule-sur-mer,,sainte-eulalie,,,,plaudren,saint-jean-de-la-ruelle,,,,,lumigny-nesles-ormeaux,uzes,,vincey,valence-sur-baise,merville,montbert,,,la-grand-croix
,toulon,,sainte-helene,,,,plechatel,saint-jean-le-blanc,,,,,luzarches,vailhauques,,vitry-sur-orne,varilhes,meteren,montbizot,,,la-motte-saint-martin
,tourrette-levens,,sainte-livrade-sur-lot,,,,pledeliac,saint-laurent-nouan,,,,,maffliers,valergues,,vittel,vayrac,meurchin,montenay,,,la-motte-servolex
,tourrettes-sur-loup,,saint-emilion,,,,pledran,saint-lubin-des-joncherets,,,,,magnanville,vallabregues,,volmerange-les-mines,venerque,monchecourt,montfaucon-montigne,,,la-mulatiere
,tourves,,saint-estephe,,,,pleguien,saint-marcel,,,,,magny-en-vexin,valleraugue,,volstroff,verdun-sur-garonne,mons-en-baroeul,montfort-le-gesnois,,,la-mure
,trans-en-provence,,sainte-terre,,,,plehedel,saint-martin-de-nigelles,,,,,magny-le-hongre,valras-plage,,walscheid,verfeil,mons-en-pevele,montigne-le-brillant,,,la-murette
,trets,,saint-etienne-de-baigorry,,,,pleine-fougeres,saint-martin-le-beau,,,,,magny-les-hameaux,valros,,wiesviller,vernet,mont-bernanchon,montjean-sur-loire,,,la-pacaudiere
,uchaux,,saint-geours-de-maremne,,,,plelan-le-grand,saint-martin-sur-ocre,,,,,maincy,vauvert,,willerwald,verniolle,montigny-en-gohelle,montoir-de-bretagne,,,la-ravoire
,vacqueyras,,saint-germain-du-puch,,,,plelan-le-petit,saint-maur,,,,,maisons-alfort,vendargues,,woippy,vic-en-bigorre,montigny-en-ostrevent,montournais,,,la-ricamarie
,vaison-la-romaine,,saint-gervais,,,,plelo,saint-maurice-sur-fessard,,,,,maisons-laffitte,vendres,,woustviller,vic-fezensac,montreuil,montreuil-bellay,,,la-roche-de-glun
,valbonne,,saint-hilaire,,,,plemet,saint-nicolas-de-bourgueil,,,,,maisse,venejan,,xertigny,vieille-toulouse,mont-saint-eloi,montrevault,,,la-roche-sur-foron
,valensole,,saint-jean-de-luz,,,,plemy,saint-ouen,,,,,malakoff,vergeze,,xonrupt-longemer,vielmur-sur-agout,morbecque,montsurs,,,la-rochette
,vallauris,,saint-jean-pied-de-port,,,,plenee-jugon,saint-paterne-racan,,,,,mandres-les-roses,vernet-les-bains,,yutz,villaudric,mortagne-du-nord,morannes,,,la-talaudiere
,valreas,,saint-julien-en-born,,,,pleneuf-val-andre,saint-pere-sur-loire,,,,,mantes-la-jolie,vestric-et-candiac,,,villefranche-de-lauragais,mouchin,mortagne-sur-sevre,,,la-terrasse
,vedene,,saint-loubes,,,,plerguer,saint-piat,,,,,mantes-la-ville,vezenobres,,,villefranche-de-rouergue,mouvaux,mouchamps,,,la-tour
,velaux,,saint-louis-de-montferrand,,,,plerin,saint-pierre-des-corps,,,,,marcoussis,vias,,,villemur-sur-tarn,nesles,mouilleron-en-pareds,,,la-tour-de-salvagny
,velleron,,saint-macaire,,,,plescop,saint-prest,,,,,mareil-marly,vic-la-gardiole,,,villeneuve,neuf-berquin,mouilleron-le-captif,,,la-tour-du-pin
,venasque,,saint-maixant,,,,pleslin-trigavou,saint-pryve-saint-mesmin,,,,,mareil-sur-mauldre,vilallonga-dels-monts,,,villeneuve-de-riviere,neufchatel-hardelot,moulay,,,la-tour-en-jarez
,vence,,saint-mariens,,,,plessala,saint-remy-sur-avre,,,,,mareuil-les-meaux,villegailhenc,,,villeneuve-les-bouloc,neuville-en-ferrain,moutiers-les-mauxfaits,,,la-tronche
,venelles,,saint-martin-de-hinx,,,,plestan,saint-romain-sur-cher,,,,,margency,villelongue-de-la-salanque,,,villeneuve-tolosane,neuville-saint-remy,mouzeil,,,la-verpilliere
,ventabren,,saint-martin-de-seignanx,,,,plestin-les-greves,saint-satur,,,,,marines,villemolaque,,,villenouvelle,neuville-saint-vaast,mouzillon,,,la-voulte-sur-rhone
,vernegues,,saint-martin-lacaussade,,,,pleubian,saint-sulpice-de-pommeray,,,,,marles-en-brie,villemoustaussou,,,viviers-les-montagnes,neuville-sur-escaut,moze-sur-louet,,,labegude
,veynes,,saint-medard-de-guizieres,,,,pleucadeuc,saint-viatre,,,,,marly-la-ville,villeneuve-de-la-raho,,,viviez,nieppe,mulsanne,,,lablachere
,vidauban,,saint-medard-de-mussidan,,,,pleudaniel,salbris,,,,,marly-le-roi,villeneuve-la-comptal,,,,noeux-les-mines,murs-erigne,,,lachapelle-sous-aubenas
,villar-saint-pancrace,,saint-medard-en-jalles,,,,pleudihen-sur-rance,sancerre,,,,,marnes-la-coquette,villeneuve-la-riviere,,,,nomain,nalliers,,,lagnieu
,villecroze,,saint-morillon,,,,pleugriffet,sancoins,,,,,marolles-en-hurepoix,villeneuve-les-avignon,,,,norrent-fontes,nantes,,,laiz
,villefranche-sur-mer,,saint-palais,,,,pleugueneuc,sandillon,,,,,marolles-sur-seine,villeneuve-les-beziers,,,,nortkerque,nesmy,,,lamastre
,villelaure,,saint-pardoux-isaac,,,,pleumeleuc,saran,,,,,mary-sur-marne,villeneuve-les-maguelone,,,,noyelles-godault,neuville-sur-sarthe,,,lancrans
,villeneuve,,saint-pardoux-la-riviere,,,,pleumeur-bodou,sarge-sur-braye,,,,,massy,villepinte,,,,noyelles-les-vermelles,nieul-le-dolent,,,lans-en-vercors
,villeneuve-loubet,,saint-paul-les-dax,,,,pleumeur-gautier,saussay,,,,,maule,villetelle,,,,noyelles-sous-lens,nort-sur-erdre,,,larajasse
,villes-sur-auzon,,saint-pee-sur-nivelle,,,,pleurtuit,savigne-sur-lathan,,,,,maurecourt,villeveyrac,,,,oignies,notre-dame-de-monts,,,largentiere
,vinon-sur-verdon,,saint-perdon,,,,pleuven,savigny-en-sancerre,,,,,maurepas,villevieille,,,,oisy-le-verger,notre-dame-de-riez,,,larringes
,violes,,saint-pierre-du-mont,,,,pleyben,savigny-en-veron,,,,,meaux,vinassan,,,,onnaing,notre-dame-des-landes,,,lavilledieu
,visan,,saint-quentin-de-baron,,,,pleyber-christ,savigny-sur-braye,,,,,medan,vinca,,,,orchies,noyant,,,le-bourget-du-lac
,vitrolles,,saint-sauveur,,,,plobannalec-lesconil,savonnieres,,,,,melun,,,,,ostricourt,noyant-la-gravoyere,,,le-chambon-
,volonne,,saint-savin,,,,ploemel,seigy,,,,,mennecy,,,,,outreau,noyen-sur-sarthe,,,le-chambon-feugerolles
,volx,,saint-selve,,,,ploemeur,selles-saint-denis,,,,,menucourt,,,,,oye-plage,nozay,,,le-champ-pres-froges
,,,saint-seurin-sur-l-isle,,,,ploerdut,selles-sur-cher,,,,,mere,,,,,pecquencourt,nuaille,,,le-cheylard
,,,saint-sever,,,,ploeren,semoy,,,,,mereville,,,,,perenchies,nueil-sur-layon,,,le-cheylas
,,,saint-sulpice-de-faleyrens,,,,ploermel,senonches,,,,,meriel,,,,,pernes,nuille-sur-vicoin,,,le-coteau
,,,saint-sulpice-et-cameyrac,,,,ploeuc-sur-lie,sermaises,,,,,mery-sur-oise,,,,,petite-foret,nyoiseau,,,le-grand-bornand
,,,saint-sylvestre-sur-lot,,,,ploezal,soings-en-sologne,,,,,meudon,,,,,phalempin,oisseau,,,le-grand-lemps
,,,saint-symphorien,,,,plogastel-saint-germain,sonzay,,,,,meulan-en-yvelines,,,,,poix-du-nord,olonne-sur-mer,,,le-gua
,,,saint-vincent-de-paul,,,,plogoff,sorel-moussel,,,,,mezieres-sur-seine,,,,,pont-a-marcq,orvault,,,le-peage-de-roussillon
,,,saint-vincent-de-tyrosse,,,,plogonnec,sorigny,,,,,mezy-sur-seine,,,,,pont-a-vendin,oudon,,,le-perreon
,,,saint-vite,,,,plomelin,souesmes,,,,,milly-la-foret,,,,,pont-sur-sambre,paimboeuf,,,le-pin
,,,saint-yzan-de-soudiac,,,,plomeur,sours,,,,,mitry-mory,,,,,premesques,pannece,,,le-pont-de-beauvoisin
,,,salies-de-bearn,,,,plomodiern,suevres,,,,,moigny-sur-ecole,,,,,preseau,parcay-les-pins,,,le-pont-de-claix
,,,salignac,,,,ploneis,sully-sur-loire,,,,,moisenay,,,,,prouvy,parce-sur-sarthe,,,le-pouzin
,,,salleboeuf,,,,ploneour-lanvern,tauxigny,,,,,moisselles,,,,,proville,parigne-le-polin,,,le-sappey-en-chartreuse
,,,salles,,,,plonevez-du-faou,tavers,,,,,moissy-cramayel,,,,,provin,paulx,,,le-teil
,,,samadet,,,,plonevez-porzay,theillay,,,,,montcourt-fromonville,,,,,quaedypre,pellouailles-les-vignes,,,le-touvet
,,,sanguinet,,,,plouagat,thesee,,,,,montereau-fault-yonne,,,,,quarouble,petit-mars,,,le-versoud
,,,sarbazan,,,,plouaret,thilouze,,,,,montesson,,,,,quesnoy-sur-deule,piriac-sur-mer,,,lent
,,,sare,,,,plouarzel,thiron-gardais,,,,,montevrain,,,,,quievrechain,pissotte,,,lentigny
,,,sarlat-la-caneda,,,,plouasne,tigy,,,,,montfermeil,,,,,quievy,plesse,,,lentilly
,,,saubion,,,,plouay,tournon-saint-martin,,,,,montgeron,,,,,raches,pontchateau,,,les-abrets
,,,saubrigues,,,,ploubalay,tours,,,,,monthyon,,,,,racquinghem,pont-saint-martin,,,les-allues
,,,saucats,,,,ploubazlanec,toury,,,,,montigny-le-bretonneux,,,,,radinghem-en-weppes,pontvallain,,,les-avenieres
,,,saugnac-et-cambran,,,,ploubezre,trainou,,,,,montigny-lencoup,,,,,raillencourt-sainte-olle,pornic,,,les-cheres
,,,sauvagnon,,,,ploudalmezeau,treon,,,,,montigny-les-cormeilles,,,,,raimbeaucourt,pornichet,,,les-contamines-montjoie
,,,sauveterre-de-bearn,,,,ploudaniel,trigueres,,,,,montigny-sur-loing,,,,,raismes,port-brillet,,,les-deux-alpes
,,,sauveterre-de-guyenne,,,,plouec-du-trieux,trouy,,,,,montlhery,,,,,ranchicourt,port-saint-pere,,,les-echelles
,,,seignosse,,,,plouedern,truyes,,,,,montlignon,,,,,rang-du-fliers,pouance,,,les-gets
,,,serres-castet,,,,plouenan,unverre,,,,,montmagny,,,,,recquignies,pouzauges,,,les-houches
,,,soorts-hossegor,,,,plouer-sur-rance,valencay,,,,,montmorency,,,,,renescure,precigne,,,les-marches
,,,sorges,,,,plouescat,vasselay,,,,,montreuil,,,,,rety,pre-en-pail,,,les-roches-de-condrieu
,,,soulac-sur-mer,,,,plouezec,vatan,,,,,montrouge,,,,,rexpoede,prefailles,,,les-vans
,,,soumoulou,,,,ploufragan,veigne,,,,,montry,,,,,richebourg-l-avoue,prinquiau,,,leyment
,,,souprosse,,,,plougasnou,vendoeuvres,,,,,montsoult,,,,,rieulay,pruille-le-chetif,,,lezigneux
,,,souraide,,,,plougastel-daoulas,vendome,,,,,morainvilliers,,,,,rieux-en-cambresis,quelaines-saint-gault,,,liergues
,,,sourzac,,,,plougonvelin,vennecy,,,,,morangis,,,,,rinxent,quilly,,,limas
,,,soussans,,,,plougonven,veretz,,,,,moret-sur-loing,,,,,riviere,remouille,,,limonest
,,,soustons,,,,plougoulm,vernouillet,,,,,morigny-champigny,,,,,robecq,renaze,,,l-isle-d-abeau
,,,tabanac,,,,plougoumelen,vernou-sur-brenne,,,,,mormant,,,,,roeulx,requeil,,,lissieu
,,,talence,,,,plougourvest,vert-en-drouais,,,,,morsang-sur-orge,,,,,roeux,reze,,,livet-et-gavet
,,,targon,,,,plougrescant,vienne-en-val,,,,,mortcerf,,,,,ronchin,riaille,,,livron-sur-drome
,,,tarnos,,,,plouguenast,vierzon,,,,,mouroux,,,,,roncq,rochefort-sur-loire,,,loire-sur-rhone
,,,tartas,,,,plouguerneau,vignoux-sur-barangeon,,,,,mours,,,,,roost-warendin,rocheserviere,,,loisin
,,,tauriac,,,,plouguernevel,villandry,,,,,moussy-le-neuf,,,,,roquetoire,roeze-sur-sarthe,,,lorette
,,,tercis-les-bains,,,,plouguiel,villebarou,,,,,moussy-le-vieux,,,,,rosult,rouans,,,loriol-sur-drome
,,,terrasson-lavilledieu,,,,plouguin,villedieu-sur-indre,,,,,nandy,,,,,roubaix,rouge,,,lovagny
,,,thenon,,,,plouha,villedomer,,,,,nangis,,,,,rousies,rouillon,,,loyettes
,,,thiviers,,,,plouharnel,villefranche-sur-cher,,,,,nanterre,,,,,rouvroy,roussay,,,lozanne
,,,tocane-saint-apre,,,,plouhinec,villemandeur,,,,,nanteuil-les-meaux,,,,,ruitz,ruaudin,,,lucenay
,,,tonneins,,,,plouider,villemeux-sur-eure,,,,,neauphle-le-chateau,,,,,rumegies,ruille-sur-loir,,,lucinges
,,,tosse,,,,plouigneau,villiers-le-morhier,,,,,nemours,,,,,rumilly-en-cambresis,sable-sur-sarthe,,,lugrin
,,,toulenne,,,,plouisy,villiers-sur-loir,,,,,nesles-la-vallee,,,,,ruminghem,saffre,,,lumbin
,,,trelissac,,,,ploumagoar,vimory,,,,,neufmoutiers-en-brie,,,,,sailly-labourse,saint-andre-de-la-marche,,,luzinay
,,,tresses,,,,ploumilliau,vineuil,,,,,neuilly-plaisance,,,,,sailly-lez-lannoy,saint-andre-des-eaux,,,lyaud
,,,urcuit,,,,ploumoguer,vitry-aux-loges,,,,,neuilly-sur-marne,,,,,sailly-sur-la-lys,saint-andre-treize-voies,,,lyon
,,,urrugne,,,,plouneour-menez,vouvray,,,,,neuilly-sur-seine,,,,,sainghin-en-melantois,saint-aubin-des-chateaux,,,mably
,,,urt,,,,plouneour-trez,vouzon,,,,,neuville-sur-oise,,,,,sainghin-en-weppes,saint-aubin-des-ormeaux,,,maclas
,,,ustaritz,,,,plouneventer,voves,,,,,nogent-sur-marne,,,,,sains-du-nord,saint-baudelle,,,macot-la-plagne
,,,uzein,,,,plounevezel,yevres,,,,,noiseau,,,,,sains-en-gohelle,saint-berthevin,,,magland
,,,vayres,,,,plounevez-lochrist,yzeures-sur-creuse,,,,,noisiel,,,,,saint-amand-les-eaux,saint-brevin-les-pins,,,malataverne
,,,velines,,,,plounevez-moedec,,,,,,noisy-le-grand,,,,,saint-andre-lez-lille,saint-calais,,,malissard
,,,vergt,,,,plounevez-quintin,,,,,,noisy-le-roi,,,,,saint-aubert,saint-christophe-du-bois,,,manziat
,,,vertheuil,,,,plouray,,,,,,noisy-le-sec,,,,,sainte-catherine,saint-christophe-du-ligneron,,,marboz
,,,vianne,,,,plourin-les-morlaix,,,,,,noisy-sur-ecole,,,,,sainte-marie-kerque,saint-clement-de-la-place,,,marcellaz-albanais
,,,vielle-saint-girons,,,,plourivo,,,,,,nozay,,,,,saint-etienne-au-mont,saint-clement-des-levees,,,marennes
,,,vieux-boucau-les-bains,,,,plouvien,,,,,,oinville-sur-montcient,,,,,saint-folquin,saint-cosme-en-vairais,,,margencel
,,,villefranque,,,,plouvorn,,,,,,oissery,,,,,saint-hilaire-lez-cambrai,saint-crespin-sur-moine,,,marignier
,,,villegouge,,,,plouzane,,,,,,ollainville,,,,,saint-jans-cappel,saint-cyr-en-bourg,,,marin
,,,villenave-d-ornon,,,,plouzevede,,,,,,orgerus,,,,,saint-josse,saint-denis-de-gastines,,,marlhes
,,,villeneuve-de-marsan,,,,plozevet,,,,,,orgeval,,,,,saint-laurent-blangy,saint-denis-la-chevasse,,,marnaz
,,,villeneuve-sur-lot,,,,pluduno,,,,,,orly,,,,,saint-leonard,sainte-anne-sur-brivet,,,marsanne
,,,villereal,,,,pluguffan,,,,,,ormesson-sur-marne,,,,,saint-martin-au-laert,sainte-cecile,,,marthod
,,,virazeil,,,,pluherlin,,,,,,ormoy,,,,,saint-martin-boulogne,sainte-flaive-des-loups,,,martignat
,,,ychoux,,,,plumaugat,,,,,,orsay,,,,,saint-nicolas,sainte-foy,,,massieux
,,,ygos-saint-saturnin,,,,plumelec,,,,,,osny,,,,,saint-omer,sainte-gemme-la-plaine,,,massongy
,,,yvrac,,,,plumeliau,,,,,,othis,,,,,saint-pol-sur-mer,sainte-gemmes-sur-loire,,,maubec
,,,,,,,plumelin,,,,,,ozoir-la-ferriere,,,,,saint-pol-sur-ternoise,sainte-hermine,,,mauves
,,,,,,,plumergat,,,,,,ozouer-le-voulgis,,,,,saint-python,sainte-jamme-sur-sarthe,,,maxilly-sur-leman
,,,,,,,plumieux,,,,,,palaiseau,,,,,saint-saulve,sainte-luce-sur-loire,,,meaudre
,,,,,,,pluneret,,,,,,pantin,,,,,saint-souplet,sainte-pazanne,,,megeve
,,,,,,,plurien,,,,,,paray-vieille-poste,,,,,saint-sylvestre-cappel,sainte-reine-de-bretagne,,,meillonnas
,,,,,,,pluvigner,,,,,,paris,,,,,saint-venant,sainte-suzanne,,,mens
,,,,,,,pluzunet,,,,,,parmain,,,,,sallaumines,saint-etienne-de-mer-morte,,,menthon-saint-bernard
,,,,,,,poce-les-bois,,,,,,perigny,,,,,salome,saint-etienne-de-montluc,,,mercurol
,,,,,,,pommeret,,,,,,persan,,,,,sameon,saint-etienne-du-bois,,,mercury
,,,,,,,pommerit-jaudy,,,,,,perthes,,,,,samer,saint-fiacre-sur-maine,,,meribel
,,,,,,,pommerit-le-vicomte,,,,,,pierrefitte-sur-seine,,,,,sangatte,saint-florent-des-bois,,,mery
,,,,,,,pont-aven,,,,,,pierrelaye,,,,,santes,saint-florent-le-vieil,,,messery
,,,,,,,pontivy,,,,,,plaisir,,,,,saultain,saint-fort,,,messimy
,,,,,,,pontrieux,,,,,,poissy,,,,,saulzoir,saint-fulgent,,,metz-tessy
,,,,,,,pont-scorff,,,,,,pommeuse,,,,,savy-berlette,saint-georges-buttavent,,,meximieux
,,,,,,,pordic,,,,,,pomponne,,,,,sebourg,saint-georges-de-montaigu,,,meylan
,,,,,,,porspoder,,,,,,pontault-combault,,,,,seclin,saint-georges-de-pointindoux,,,meysse
,,,,,,,port-louis,,,,,,pontcarre,,,,,selvigny,saint-georges-du-bois,,,meythet
,,,,,,,pouldergat,,,,,,ponthierry,,,,,sequedin,saint-georges-sur-loire,,,meyzieu
,,,,,,,pouldreuzic,,,,,,pontoise,,,,,serques,saint-gereon,,,mezeriat
,,,,,,,poullan-sur-mer,,,,,,porcheville,,,,,sin-le-noble,saint-germain-de-princay,,,mieussy
